expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer
116,3000,35,36, GVWY,14574,10,1457.4, PRSH,4397,10,439.7, SHVR,15268,10,1526.8, ZIC,4543,10,454.3, ZIP,14116,10,1411.6,35,36, ,,,
117,3000,28,40, GVWY,16384,10,1638.4, PRSH,7523,10,752.3, SHVR,17921,10,1792.1, ZIC,6104,10,610.4, ZIP,14194,10,1419.4,28,40, ,,,
118,3000,30,35, GVWY,7471,10,747.1, PRSH,5796,10,579.6, SHVR,10230,10,1023, ZIC,6438,10,643.8, ZIP,20594,10,2059.4,30,35, ,,,
119,3000,31,35, GVWY,16586,10,1658.6, PRSH,5730,10,573, SHVR,7239,10,723.9, ZIC,6223,10,622.3, ZIP,6748,10,674.8,31,35, ,,,
120,3000,33,36, GVWY,19170,10,1917, PRSH,7647,10,764.7, SHVR,10518,10,1051.8, ZIC,1996,10,199.6, ZIP,15073,10,1507.3,33,36, ,,,
121,3000,30,41, GVWY,21577,10,2157.7, PRSH,1261,10,126.1, SHVR,11650,10,1165, ZIC,4792,10,479.2, ZIP,13297,10,1329.7,30,41, ,,,
122,3000,28,45, GVWY,19499,10,1949.9, PRSH,1638,10,163.8, SHVR,22313,10,2231.3, ZIC,2959,10,295.9, ZIP,18902,10,1890.2,28,45, ,,,
123,3000,28,35, GVWY,14940,10,1494, PRSH,5813,10,581.3, SHVR,18099,10,1809.9, ZIC,5490,10,549, ZIP,20652,10,2065.2,28,35, ,,,
124,3000,30,40, GVWY,4679,10,467.9, PRSH,5918,10,591.8, SHVR,18868,10,1886.8, ZIC,9133,10,913.3, ZIP,13738,10,1373.8,30,40, ,,,
125,3000,34,38, GVWY,15249,10,1524.9, PRSH,4337,10,433.7, SHVR,11594,10,1159.4, ZIC,6915,10,691.5, ZIP,19436,10,1943.6,34,38, ,,,
126,3000,29,33, GVWY,9635,10,963.5, PRSH,4833,10,483.3, SHVR,10248,10,1024.8, ZIC,5801,10,580.1, ZIP,21612,10,2161.2,29,33, ,,,
127,3000,31,38, GVWY,12798,10,1279.8, PRSH,1441,10,144.1, SHVR,18982,10,1898.2, ZIC,4727,10,472.7, ZIP,22824,10,2282.4,31,38, ,,,
128,3000,36,40, GVWY,14211,10,1421.1, PRSH,1643,10,164.3, SHVR,20768,10,2076.8, ZIC,6667,10,666.7, ZIP,6845,10,684.5,36,40, ,,,
129,3000,31,35, GVWY,9496,10,949.6, PRSH,3331,10,333.1, SHVR,8618,10,861.8, ZIC,10960,10,1096, ZIP,18123,10,1812.3,31,35, ,,,
130,3000,31,35, GVWY,5462,10,546.2, PRSH,266,10,26.6, SHVR,20343,10,2034.3, ZIC,6961,10,696.1, ZIP,17825,10,1782.5,31,35, ,,,
131,3000,29,45, GVWY,16231,10,1623.1, PRSH,9319,10,931.9, SHVR,15566,10,1556.6, ZIC,2624,10,262.4, ZIP,18296,10,1829.6,29,45, ,,,
132,3000,30,33, GVWY,5895,10,589.5, PRSH,9918,10,991.8, SHVR,22191,10,2219.1, ZIC,3390,10,339, ZIP,11586,10,1158.6,30,33, ,,,
133,3000,29,33, GVWY,26722,10,2672.2, PRSH,1223,10,122.3, SHVR,12071,10,1207.1, ZIC,7673,10,767.3, ZIP,11533,10,1153.3,29,33, ,,,
134,3000,30,35, GVWY,8565,10,856.5, PRSH,7923,10,792.3, SHVR,11485,10,1148.5, ZIC,4834,10,483.4, ZIP,16433,10,1643.3,30,35, ,,,
135,3000,34,43, GVWY,12320,10,1232, PRSH,4255,10,425.5, SHVR,15900,10,1590, ZIC,8901,10,890.1, ZIP,16059,10,1605.9,34,43, ,,,
136,3000,29,34, GVWY,16178,10,1617.8, PRSH,1782,10,178.2, SHVR,12437,10,1243.7, ZIC,13399,10,1339.9, ZIP,8282,10,828.2,29,34, ,,,
137,3000,36,39, GVWY,16328,10,1632.8, PRSH,5361,10,536.1, SHVR,20491,10,2049.1, ZIC,2432,10,243.2, ZIP,12446,10,1244.6,36,39, ,,,
138,3000,29,40, GVWY,22777,10,2277.7, PRSH,3978,10,397.8, SHVR,16168,10,1616.8, ZIC,2740,10,274, ZIP,13081,10,1308.1,29,40, ,,,
139,3000,28,29, GVWY,17803,10,1780.3, PRSH,231,10,23.1, SHVR,21367,10,2136.7, ZIC,5026,10,502.6, ZIP,24723,10,2472.3,28,29, ,,,
140,3000,28,31, GVWY,12625,10,1262.5, PRSH,6473,10,647.3, SHVR,23400,10,2340, ZIC,3970,10,397, ZIP,14201,10,1420.1,28,31, ,,,
141,3000,30,41, GVWY,15453,10,1545.3, PRSH,5640,10,564, SHVR,15257,10,1525.7, ZIC,837,10,83.7, ZIP,22319,10,2231.9,30,41, ,,,
142,3000,35,42, GVWY,18736,10,1873.6, PRSH,7763,10,776.3, SHVR,14679,10,1467.9, ZIC,6531,10,653.1, ZIP,9924,10,992.4,35,42, ,,,
143,3000,30,35, GVWY,17670,10,1767, PRSH,7043,10,704.3, SHVR,16603,10,1660.3, ZIC,2736,10,273.6, ZIP,8266,10,826.6,30,35, ,,,
144,3000,37,39, GVWY,7030,10,703, PRSH,4412,10,441.2, SHVR,12989,10,1298.9, ZIC,3172,10,317.2, ZIP,17361,10,1736.1,37,39, ,,,
145,3000,41,42, GVWY,14323,10,1432.3, PRSH,2309,10,230.9, SHVR,12340,10,1234, ZIC,3823,10,382.3, ZIP,19831,10,1983.1,41,42, ,,,
146,3000,32,41, GVWY,19153,10,1915.3, PRSH,3037,10,303.7, SHVR,19843,10,1984.3, ZIC,4717,10,471.7, ZIP,11411,10,1141.1,32,41, ,,,
147,3000,31,43, GVWY,19453,10,1945.3, PRSH,3440,10,344, SHVR,10196,10,1019.6, ZIC,4562,10,456.2, ZIP,15754,10,1575.4,31,43, ,,,
148,3000,31,36, GVWY,16689,10,1668.9, PRSH,4053,10,405.3, SHVR,13738,10,1373.8, ZIC,3137,10,313.7, ZIP,13330,10,1333,31,36, ,,,
149,3000,32,34, GVWY,8295,10,829.5, PRSH,315,10,31.5, SHVR,9070,10,907, ZIC,7778,10,777.8, ZIP,19204,10,1920.4,32,34, ,,,
150,3000,43,44, GVWY,18171,10,1817.1, PRSH,4655,10,465.5, SHVR,15525,10,1552.5, ZIC,3542,10,354.2, ZIP,12982,10,1298.2,43,44, ,,,
